time,open,high,low,close,volume
2023-09-25 09:00:00,82.2,82.7,81.6,82.2,119169983.47461966
2023-09-26 09:00:00,82.2,82.9,81.3,82.2,105850416.76433067
2023-09-27 09:00:00,82.2,83.6,82.1,82.6,102205751.18250462
2023-09-28 09:00:00,82.6,83.7,82.4,83.3,83860933.65846498
2023-09-29 09:00:00,83.2,84.9,83.1,84.1,159769440.03282672
2023-09-30 09:00:00,84.0,84.9,83.7,84.1,100107564.06839257
2023-10-01 09:00:00,84.2,85.9,83.9,85.4,165140916.24343324
2023-10-02 09:00:00,85.4,87.2,83.9,84.4,287658085.01349616
2023-10-03 09:00:00,84.4,85.1,83.2,83.3,176470275.35135943
2023-10-04 09:00:00,83.4,83.5,82.2,83.2,132653415.09057675
2023-10-05 09:00:00,83.2,83.5,82.5,82.7,99053789.94420548
2023-10-06 09:00:00,82.8,83.6,82.7,83.2,88384275.52409872
2023-10-07 09:00:00,83.1,83.6,83.0,83.4,64454388.55589518
2023-10-08 09:00:00,83.3,83.6,82.6,82.9,66664573.19415357
2023-10-09 09:00:00,83.0,83.0,79.4,80.2,292808130.1978932
2023-10-10 09:00:00,80.2,80.9,79.8,80.6,177282255.56568298
2023-10-11 09:00:00,80.6,81.0,78.9,80.0,166288902.77598858
2023-10-12 09:00:00,80.0,80.0,78.6,79.5,125269829.18017009
2023-10-13 09:00:00,79.5,81.0,79.3,80.3,118144563.82351387
2023-10-14 09:00:00,80.3,82.1,80.3,81.9,116518505.14393811
2023-10-15 09:00:00,81.9,82.0,80.7,80.9,118833359.88019145
2023-10-16 09:00:00,81.0,83.7,80.7,81.6,263731702.37567675
2023-10-17 09:00:00,81.5,81.8,80.0,80.5,178135809.42149103
2023-10-18 09:00:00,80.5,80.8,79.6,80.1,188681860.85455143
2023-10-19 09:00:00,80.1,80.4,79.1,80.1,173074976.40077773
2023-10-20 09:00:00,80.0,81.7,79.5,81.2,220209128.84023085
2023-10-21 09:00:00,81.2,82.8,80.7,82.6,163028665.27640542
2023-10-22 09:00:00,82.5,83.2,81.3,83.0,151032857.83879638
2023-10-23 09:00:00,83.0,90.6,82.7,90.1,821212014.9655937
2023-10-24 09:00:00,90.0,93.4,87.0,89.5,856765931.2767265
2023-10-25 09:00:00,89.6,94.1,87.6,92.1,482739707.96685725
2023-10-26 09:00:00,92.0,101.0,91.7,96.9,1812578311.3996723
2023-10-27 09:00:00,97.0,97.8,91.6,92.0,519846048.86604136
2023-10-28 09:00:00,92.0,94.8,91.8,93.8,331353071.8181316
2023-10-29 09:00:00,93.8,95.0,92.0,94.0,220337155.81836775
2023-10-30 09:00:00,94.0,95.5,92.6,94.4,274425152.3683531
2023-10-31 09:00:00,94.4,96.3,90.2,92.8,560817981.7997383
2023-11-01 09:00:00,92.8,94.2,90.2,93.5,469147711.9446039
2023-11-02 09:00:00,93.5,96.2,91.0,92.4,533020144.25838476
2023-11-03 09:00:00,92.4,92.6,90.1,91.5,275780509.3749961
2023-11-04 09:00:00,91.5,92.9,91.4,92.9,211663723.46911997
2023-11-05 09:00:00,92.6,96.7,92.1,95.5,456667966.77908957
2023-11-06 09:00:00,95.5,103.0,93.9,103.0,860749035.5452367
2023-11-07 09:00:00,103.0,103.0,96.4,98.3,670614801.0537235
2023-11-08 09:00:00,98.3,103.0,97.2,100.0,431094802.8817046
2023-11-09 09:00:00,100.0,104.0,94.6,99.1,891425181.3903819
2023-11-10 09:00:00,99.1,102.0,98.0,101.0,792410885.3786492
2023-11-11 09:00:00,101.0,109.0,100.0,105.0,1215763384.910433
2023-11-12 09:00:00,104.0,107.0,100.0,104.0,550703374.5264772
2023-11-13 09:00:00,104.0,106.0,100.0,100.0,646833420.1890383
2023-11-14 09:00:00,100.0,102.0,96.4,97.8,704059019.0795405
2023-11-15 09:00:00,97.8,102.0,96.2,102.0,479527768.22323114
2023-11-16 09:00:00,101.0,112.0,101.0,108.0,2032032620.8498952
2023-11-17 09:00:00,108.0,118.0,106.0,117.0,1712225007.2779028
2023-11-18 09:00:00,116.0,117.0,106.0,108.0,1143055612.4659383
2023-11-19 09:00:00,108.0,108.0,104.0,108.0,412851001.555867
2023-11-20 09:00:00,108.0,110.0,104.0,104.0,420287882.5421793
2023-11-21 09:00:00,105.0,106.0,96.5,97.3,602944444.8745524
2023-11-22 09:00:00,97.2,103.0,97.1,102.0,307817483.86626846
2023-11-23 09:00:00,101.0,103.0,100.0,102.0,161992865.00508344
2023-11-24 09:00:00,102.0,106.0,102.0,104.0,351366401.9936239
2023-11-25 09:00:00,104.0,107.0,104.0,106.0,182894947.92972845
2023-11-26 09:00:00,106.0,106.0,102.0,106.0,294043346.16746324
2023-11-27 09:00:00,106.0,110.0,104.0,106.0,670047490.7177153
2023-11-28 09:00:00,106.0,109.0,103.0,108.0,415413410.9502418
2023-11-29 09:00:00,109.0,112.0,106.0,108.0,578724580.9015673
2023-11-30 09:00:00,108.0,114.0,108.0,112.0,496321623.64828837
2023-12-01 09:00:00,112.0,115.0,110.0,113.0,378013124.39274013
2023-12-02 09:00:00,113.0,116.0,111.0,114.0,386513361.15201676
2023-12-03 09:00:00,114.0,117.0,112.0,115.0,395188703.59907514
2023-12-04 09:00:00,115.0,125.0,114.0,124.0,1045186662.9488583
2023-12-05 09:00:00,124.0,130.0,118.0,128.0,731597723.454505
2023-12-06 09:00:00,128.0,147.0,128.0,131.0,2345832636.475489
2023-12-07 09:00:00,132.0,136.0,127.0,131.0,864009349.2450266
2023-12-08 09:00:00,132.0,141.0,131.0,138.0,590272957.8948063
2023-12-09 09:00:00,138.0,143.0,135.0,135.0,603187024.4952847
2023-12-10 09:00:00,136.0,140.0,132.0,140.0,452228397.1167398
2023-12-11 09:00:00,139.0,147.0,126.0,130.0,1680875242.7684412
2023-12-12 09:00:00,130.0,135.0,127.0,131.0,745921657.9724588
2023-12-13 09:00:00,130.0,136.0,125.0,134.0,630305722.1103609
2023-12-14 09:00:00,133.0,136.0,130.0,134.0,465495412.7640168
2023-12-15 09:00:00,134.0,135.0,128.0,129.0,300920532.44822073
2023-12-16 09:00:00,128.0,134.0,127.0,134.0,320559666.73301554
2023-12-17 09:00:00,133.0,135.0,127.0,128.0,331682201.0640175
2023-12-18 09:00:00,128.0,129.0,118.0,125.0,752102177.4818377
2023-12-19 09:00:00,125.0,128.0,122.0,124.0,326761191.61049086
2023-12-20 09:00:00,123.0,126.0,121.0,125.0,462341733.6640647
2023-12-21 09:00:00,125.0,133.0,123.0,130.0,583399813.9092886
2023-12-22 09:00:00,129.0,131.0,125.0,128.0,471130958.9674193
2023-12-23 09:00:00,128.0,129.0,125.0,126.0,211106051.2219266
2023-12-24 09:00:00,127.0,129.0,123.0,124.0,530100020.8929051
2023-12-25 09:00:00,124.0,127.0,123.0,126.0,389017310.5361902
2023-12-26 09:00:00,125.0,126.0,120.0,123.0,372928901.69179785
2023-12-27 09:00:00,122.0,126.0,120.0,125.0,319688811.5984758
2023-12-28 09:00:00,125.0,127.0,122.0,122.0,326325287.8879134
2023-12-29 09:00:00,123.0,124.0,120.0,122.0,286500594.576217
2023-12-30 09:00:00,122.0,123.0,120.0,122.0,143707305.00093713
2023-12-31 09:00:00,122.0,122.0,120.0,121.0,146023816.7218368
2024-01-01 09:00:00,121.0,123.0,120.0,123.0,147897870.65565214
2024-01-02 09:00:00,122.0,126.0,121.0,123.0,450460464.80659693
2024-01-03 09:00:00,122.0,123.0,101.0,113.0,1011132179.1607083
2024-01-04 09:00:00,113.0,114.0,109.0,114.0,421328402.3243611
2024-01-05 09:00:00,114.0,114.0,109.0,112.0,310377552.132933
2024-01-06 09:00:00,112.0,112.0,106.0,109.0,281515527.8243551
2024-01-07 09:00:00,109.0,110.0,104.0,106.0,315180351.9871971
2024-01-08 09:00:00,106.0,110.0,100.0,109.0,642660906.1326362
2024-01-09 09:00:00,109.0,113.0,103.0,107.0,734823923.7522962
2024-01-10 09:00:00,107.0,116.0,103.0,114.0,756696701.3663346
2024-01-11 09:00:00,113.0,120.0,112.0,117.0,856397977.790573
2024-01-12 09:00:00,116.0,117.0,108.0,111.0,693918852.1016561
2024-01-13 09:00:00,111.0,113.0,107.0,112.0,305097636.04197764
2024-01-14 09:00:00,112.0,115.0,109.0,110.0,357294058.06846136
2024-01-15 09:00:00,110.0,112.0,109.0,112.0,184338308.41155568
2024-01-16 09:00:00,111.0,113.0,110.0,111.0,220009065.778082
2024-01-17 09:00:00,111.0,112.0,110.0,111.0,141803415.4417503
2024-01-18 09:00:00,111.0,111.0,107.0,108.0,222680225.70019484
2024-01-19 09:00:00,109.0,109.0,104.0,109.0,269893188.3602947
2024-01-20 09:00:00,109.0,125.0,108.0,121.0,595043437.8148717
2024-01-21 09:00:00,120.0,125.0,117.0,118.0,947635619.0024511
2024-01-22 09:00:00,117.0,118.0,111.0,112.0,770698294.1799189
2024-01-23 09:00:00,112.0,114.0,105.0,108.0,553793295.3123376
2024-01-24 09:00:00,108.0,111.0,107.0,109.0,250659051.02841434
2024-01-25 09:00:00,109.0,110.0,106.0,107.0,241536650.86395243
2024-01-26 09:00:00,108.0,111.0,107.0,109.0,180613342.4786898
2024-01-27 09:00:00,109.0,111.0,109.0,110.0,105497249.25873451
2024-01-28 09:00:00,110.0,112.0,107.3,108.4,146266875.9280459
2024-01-29 09:00:00,108.4,114.5,107.5,111.3,383570633.8975687
2024-01-30 09:00:00,111.3,112.2,109.1,109.4,197586224.4368051
2024-01-31 09:00:00,109.4,110.2,107.8,108.7,170385782.67978093
2024-02-01 09:00:00,108.8,109.6,107.1,109.0,129458923.3520445
2024-02-02 09:00:00,109.0,109.9,108.1,108.9,108290603.75834215
2024-02-03 09:00:00,109.0,109.3,108.2,108.4,81823649.71080354
2024-02-04 09:00:00,108.5,110.3,107.9,108.1,86597194.01116356
2024-02-05 09:00:00,108.1,110.2,106.8,108.0,159114106.35016307
2024-02-06 09:00:00,108.1,108.3,107.0,107.6,85762917.73307343
2024-02-07 09:00:00,107.5,109.2,107.2,108.9,94112066.1385574
2024-02-08 09:00:00,108.9,110.0,108.7,109.4,133928773.36075331
2024-02-09 09:00:00,109.4,111.8,109.0,110.1,257946458.36857748
2024-02-10 09:00:00,110.1,111.2,108.2,110.0,117796173.99814649
2024-02-11 09:00:00,110.0,112.7,109.5,109.9,207813575.2393324
2024-02-12 09:00:00,109.9,111.1,108.1,110.2,208490976.59132048
2024-02-13 09:00:00,110.3,111.7,108.7,109.8,240937960.4881505
2024-02-14 09:00:00,109.8,117.5,109.1,115.9,390313066.5725277
2024-02-15 09:00:00,115.9,120.0,115.7,117.3,480209677.27976733
2024-02-16 09:00:00,117.3,121.2,116.1,118.9,316935358.30499154
2024-02-17 09:00:00,118.9,119.3,112.9,115.7,264151117.11731538
2024-02-18 09:00:00,115.7,118.0,114.5,117.5,149212146.3634479
2024-02-19 09:00:00,117.5,125.6,117.2,123.9,362536859.4885318
2024-02-20 09:00:00,123.9,126.7,116.5,119.1,549889990.5173833
2024-02-21 09:00:00,119.0,119.4,115.4,118.1,240036047.21059978
2024-02-22 09:00:00,118.1,118.5,116.2,117.2,135878999.49083492
2024-02-23 09:00:00,117.2,119.2,116.2,117.9,199816101.3136878
2024-02-24 09:00:00,117.9,119.3,117.0,118.8,166452892.24090347
2024-02-25 09:00:00,118.8,119.4,118.0,118.5,124076057.52117082
2024-02-26 09:00:00,118.6,123.6,115.5,122.2,301246926.99283546
2024-02-27 09:00:00,122.2,138.4,121.1,134.3,1263342721.0024838
2024-02-28 09:00:00,134.4,169.9,130.1,162.6,3321948208.587492
2024-02-29 09:00:00,162.7,190.5,156.8,164.9,4158319658.1359377
2024-03-01 09:00:00,164.9,203.8,164.4,195.3,2810646733.555983
2024-03-02 09:00:00,195.3,211.9,190.5,198.1,2911232646.01854
2024-03-03 09:00:00,198.1,217.3,170.1,214.0,2231465213.37859
2024-03-04 09:00:00,213.7,258.7,202.4,254.8,3669945454.9897227
2024-03-05 09:00:00,254.8,291.0,189.5,220.1,5650100607.832778
2024-03-06 09:00:00,220.1,252.0,205.1,223.4,2651559588.6604595
2024-03-07 09:00:00,222.9,228.6,208.1,221.6,1411464593.053145
2024-03-08 09:00:00,221.6,246.8,218.2,232.7,2084023147.490615
2024-03-09 09:00:00,232.8,257.2,229.0,250.9,1517658377.99352
2024-03-10 09:00:00,251.0,252.3,235.0,240.5,708779908.2920842
2024-03-11 09:00:00,240.6,254.6,225.8,253.3,1001342171.125563
2024-03-12 09:00:00,253.3,255.6,230.6,238.4,780547298.0302774
2024-03-13 09:00:00,238.4,246.0,235.4,240.7,574544269.5024519
2024-03-14 09:00:00,240.7,273.3,236.6,254.3,3392149959.6172986
2024-03-15 09:00:00,254.4,261.1,222.5,238.2,1828843972.2837522
2024-03-16 09:00:00,238.2,240.7,203.2,210.7,1087542221.915339
2024-03-17 09:00:00,210.7,230.8,200.2,225.6,1350486928.7675643
2024-03-18 09:00:00,225.6,225.7,207.3,210.3,598734875.3327147
2024-03-19 09:00:00,210.4,213.2,185.0,192.2,1263462717.585347
2024-03-20 09:00:00,192.2,224.6,181.5,223.6,1260130799.4914293
2024-03-21 09:00:00,223.6,231.7,214.0,226.5,892575560.6441115
2024-03-22 09:00:00,226.5,237.9,214.2,225.0,1008102538.574315
2024-03-23 09:00:00,225.0,253.2,221.5,235.8,1641540191.372363
2024-03-24 09:00:00,235.7,259.4,234.3,253.8,1497839708.629927
2024-03-25 09:00:00,253.8,265.3,244.0,249.5,1279259495.4831676
2024-03-26 09:00:00,249.4,264.0,247.8,260.5,1134362793.2587721
2024-03-27 09:00:00,260.5,275.5,254.5,273.8,1593605541.688317
2024-03-28 09:00:00,273.9,324.0,272.0,313.7,3599038659.7205133
2024-03-29 09:00:00,313.8,320.9,298.3,304.0,1682931659.702618
2024-03-30 09:00:00,304.0,309.9,281.4,286.2,930632098.2275351
2024-03-31 09:00:00,286.3,313.2,286.0,311.5,924678768.213765
2024-04-01 09:00:00,311.5,311.6,287.4,294.9,1250564392.2889862
2024-04-02 09:00:00,295.0,295.0,264.2,268.3,1867233305.2089577
2024-04-03 09:00:00,268.3,275.5,250.4,256.9,1529808144.7349856
2024-04-04 09:00:00,256.8,273.3,252.3,262.0,1007957735.1478541
2024-04-05 09:00:00,262.0,262.1,245.7,257.0,741090093.8885515
2024-04-06 09:00:00,256.9,269.8,255.6,267.1,493681887.81927013
2024-04-07 09:00:00,267.1,292.9,266.5,284.8,1098121832.3425927
2024-04-08 09:00:00,284.7,295.9,280.2,288.5,905457470.9331139
2024-04-09 09:00:00,288.4,290.4,267.7,272.0,744944524.111263
2024-04-10 09:00:00,271.9,289.2,261.4,284.5,943979927.7441729
2024-04-11 09:00:00,284.5,289.3,273.4,278.1,681787940.7125673
2024-04-12 09:00:00,278.1,286.7,250.1,259.0,1004459094.0003273
2024-04-13 09:00:00,259.0,260.3,203.5,231.3,1679595784.1231198
2024-04-14 09:00:00,231.7,248.8,220.3,244.6,1568868346.674929
2024-04-15 09:00:00,244.6,252.5,227.4,245.2,1398461668.104512
2024-04-16 09:00:00,245.1,246.1,222.4,233.7,1085941237.8843443
2024-04-17 09:00:00,233.7,237.1,217.7,220.5,838160922.0235322
2024-04-18 09:00:00,220.3,226.0,208.5,223.9,1014877052.6925753
2024-04-19 09:00:00,223.9,229.9,206.3,228.8,1023760782.2980002
2024-04-20 09:00:00,228.9,241.0,221.8,237.2,822500733.8678738
2024-04-21 09:00:00,237.2,242.6,228.1,231.4,723958717.922072
2024-04-22 09:00:00,231.4,237.1,229.4,234.3,510615569.8953629
2024-04-23 09:00:00,234.3,235.5,227.0,231.1,389624773.8943182
2024-04-24 09:00:00,231.2,236.5,218.4,220.5,490697352.68691593
2024-04-25 09:00:00,220.4,222.8,213.2,217.5,305106369.7284438
2024-04-26 09:00:00,217.5,218.3,212.0,213.3,215725117.08091977
2024-04-27 09:00:00,213.4,215.0,206.5,213.0,240905170.66645813
2024-04-28 09:00:00,213.0,217.2,209.5,210.3,169040335.40183064
2024-04-29 09:00:00,210.3,212.0,200.3,205.5,372838357.6442233
2024-04-30 09:00:00,205.5,209.1,187.0,191.3,532408592.83920604
2024-05-01 09:00:00,191.3,192.8,171.3,186.2,1121978241.859081
2024-05-02 09:00:00,186.1,190.0,175.0,185.6,501984098.37632287
2024-05-03 09:00:00,185.6,209.8,184.7,207.4,642182030.6993958
2024-05-04 09:00:00,207.4,240.5,206.8,226.7,1858172992.9931889
2024-05-05 09:00:00,226.7,230.7,217.1,226.4,919241061.8805687
2024-05-06 09:00:00,226.1,236.5,216.8,219.7,972549875.4748362
2024-05-07 09:00:00,219.9,223.6,210.5,210.8,418938061.85323626
2024-05-08 09:00:00,210.8,213.8,199.0,201.0,479699177.37610656
2024-05-09 09:00:00,201.0,215.0,200.8,212.5,411417094.0537776
2024-05-10 09:00:00,212.6,214.4,201.2,203.4,407577855.61496514
2024-05-11 09:00:00,203.4,205.9,200.8,201.9,171190724.20785105
2024-05-12 09:00:00,202.0,203.5,197.6,199.1,208392968.77503273
2024-05-13 09:00:00,199.1,219.2,191.3,207.7,821330037.4931606
2024-05-14 09:00:00,207.7,217.4,203.1,204.3,801679905.9456943
2024-05-15 09:00:00,204.3,217.9,204.0,216.2,692000541.2612813
2024-05-16 09:00:00,216.3,220.4,207.3,208.7,514297035.403957
2024-05-17 09:00:00,208.6,216.3,207.8,215.1,319721404.72827464
2024-05-18 09:00:00,215.1,217.4,210.9,212.8,254267094.90166688
2024-05-19 09:00:00,212.9,216.4,206.0,207.2,317978173.0698494
2024-05-20 09:00:00,207.2,226.0,205.8,225.4,485161846.95529485
2024-05-21 09:00:00,225.3,237.8,218.7,234.8,840509840.8726301
2024-05-22 09:00:00,234.8,239.6,222.3,229.1,633842370.7368164
2024-05-23 09:00:00,229.1,233.6,213.7,223.3,701153269.3628803
2024-05-24 09:00:00,223.3,240.9,217.7,227.8,1114985179.634479
2024-05-25 09:00:00,227.7,241.7,226.4,241.5,570144493.3175018
2024-05-26 09:00:00,241.5,243.1,231.5,231.7,573024837.4106032
2024-05-27 09:00:00,231.9,240.2,229.2,233.9,487259752.2816521
2024-05-28 09:00:00,233.9,234.7,225.5,228.4,478908629.41099536
2024-05-29 09:00:00,228.4,235.7,225.6,227.7,557039780.461025
2024-05-30 09:00:00,227.7,229.5,218.8,221.9,375721435.22064066
