time,open,high,low,close,volume
2024-09-25 14:00:00,85430000.0,85499000.0,85380000.0,85409000.0,14.31052386
2024-09-25 14:15:00,85409000.0,85450000.0,85375000.0,85392000.0,11.74018509
2024-09-25 14:30:00,85392000.0,85484000.0,85390000.0,85400000.0,13.07935147
2024-09-25 14:45:00,85400000.0,85400000.0,85309000.0,85387000.0,16.89955525
2024-09-25 15:00:00,85386000.0,85386000.0,85248000.0,85300000.0,19.16686537
2024-09-25 15:15:00,85290000.0,85300000.0,85000000.0,85068000.0,62.12006754
2024-09-25 15:30:00,85099000.0,85215000.0,85065000.0,85153000.0,29.85362447
2024-09-25 15:45:00,85212000.0,85212000.0,85000000.0,85003000.0,30.89650723
2024-09-25 16:00:00,85002000.0,85060000.0,84964000.0,84977000.0,30.87320934
2024-09-25 16:15:00,84978000.0,85060000.0,84845000.0,85050000.0,45.05826092
2024-09-25 16:30:00,85060000.0,85120000.0,84949000.0,85074000.0,15.62603931
2024-09-25 16:45:00,85074000.0,85080000.0,84950000.0,85074000.0,13.29543493
2024-09-25 17:00:00,85033000.0,85091000.0,85033000.0,85086000.0,8.83789107
2024-09-25 17:15:00,85088000.0,85126000.0,85075000.0,85103000.0,8.36053526
2024-09-25 17:30:00,85103000.0,85163000.0,85075000.0,85154000.0,10.10989061
2024-09-25 17:45:00,85154000.0,85199000.0,85000000.0,85019000.0,23.97522875
2024-09-25 18:00:00,85019000.0,85090000.0,84940000.0,85031000.0,13.93062582
2024-09-25 18:15:00,85031000.0,85031000.0,84900000.0,84920000.0,17.93245968
2024-09-25 18:30:00,84920000.0,85080000.0,84907000.0,84936000.0,13.20339028
2024-09-25 18:45:00,84935000.0,84956000.0,84860000.0,84861000.0,17.45828549
2024-09-25 19:00:00,84860000.0,84928000.0,84627000.0,84913000.0,48.54652664
2024-09-25 19:15:00,84902000.0,84985000.0,84884000.0,84978000.0,17.46389517
2024-09-25 19:30:00,84978000.0,84978000.0,84854000.0,84954000.0,13.76796134
2024-09-25 19:45:00,84932000.0,84953000.0,84842000.0,84845000.0,11.29706904
2024-09-25 20:00:00,84845000.0,84860000.0,84750000.0,84750000.0,17.84548054
2024-09-25 20:15:00,84754000.0,84900000.0,84700000.0,84871000.0,19.71647422
2024-09-25 20:30:00,84871000.0,85075000.0,84871000.0,85064000.0,14.87011318
2024-09-25 20:45:00,85037000.0,85132000.0,84982000.0,85131000.0,14.45113394
2024-09-25 21:00:00,85122000.0,85194000.0,85007000.0,85023000.0,15.58795926
2024-09-25 21:15:00,85018000.0,85111000.0,85005000.0,85110000.0,10.79284178
2024-09-25 21:30:00,85111000.0,85136000.0,85000000.0,85010000.0,12.46302165
2024-09-25 21:45:00,85010000.0,85010000.0,84896000.0,84906000.0,11.07859703
2024-09-25 22:00:00,84906000.0,84998000.0,84735000.0,84785000.0,22.99228314
2024-09-25 22:15:00,84780000.0,84856000.0,84716000.0,84801000.0,33.26697052
2024-09-25 22:30:00,84842000.0,84941000.0,84600000.0,84721000.0,46.25424319
2024-09-25 22:45:00,84677000.0,85092000.0,84677000.0,85044000.0,16.87534428
2024-09-25 23:00:00,85031000.0,85129000.0,84977000.0,85059000.0,20.23319918
2024-09-25 23:15:00,85059000.0,85130000.0,84911000.0,84984000.0,14.74492291
2024-09-25 23:30:00,84975000.0,85111000.0,84900000.0,85079000.0,11.24716559
2024-09-25 23:45:00,85079000.0,85150000.0,84964000.0,85150000.0,15.48016423
2024-09-26 00:00:00,85130000.0,85200000.0,85089000.0,85103000.0,10.57019048
2024-09-26 00:15:00,85103000.0,85176000.0,84965000.0,85077000.0,13.35859395
2024-09-26 00:30:00,85077000.0,85165000.0,84964000.0,85064000.0,12.51987858
2024-09-26 00:45:00,85064000.0,85071000.0,84787000.0,84843000.0,22.22324079
2024-09-26 01:00:00,84823000.0,85005000.0,84787000.0,84924000.0,8.89248273
2024-09-26 01:15:00,84914000.0,85000000.0,84850000.0,84894000.0,3.11005618
2024-09-26 01:30:00,84894000.0,84996000.0,84800000.0,84916000.0,6.45057958
2024-09-26 01:45:00,84916000.0,84916000.0,84750000.0,84751000.0,14.1766236
2024-09-26 02:00:00,84751000.0,84827000.0,84691000.0,84700000.0,14.10145483
2024-09-26 02:15:00,84712000.0,84800000.0,84500000.0,84500000.0,50.28031873
2024-09-26 02:30:00,84501000.0,84560000.0,84400000.0,84408000.0,53.1629441
2024-09-26 02:45:00,84408000.0,84517000.0,84300000.0,84500000.0,21.02054793
